filename,width,height,class,xmin,ymin,xmax,ymax
AUT-0001.jpg,3648,2736,bolt_b,1719,1223,1855,1356
AUT-0002.jpg,3648,2736,bolt_b,1909,1645,2231,1965
AUT-0002.jpg,3648,2736,bolt_b,1208,2391,1408,2605
AUT-0003.jpg,3648,2736,bolt_a,1214,1147,1626,1544
AUT-0004.jpg,3648,2736,bolt_a,1551,1039,1917,1384
AUT-0005.jpg,2736,3648,bolt_b,1032,1345,1440,1790
AUT-0005.jpg,2736,3648,vague,1016,2330,1277,2580
AUT-0006.jpg,2736,3648,vague,676,1299,847,1455
AUT-0006.jpg,2736,3648,vague,654,1796,831,1967
AUT-0006.jpg,2736,3648,vague,1796,1878,1975,2055
AUT-0007.jpg,2736,3648,bolt_b,1182,1312,1315,1434
AUT-0007.jpg,2736,3648,bolt_b,1090,1696,1220,1838
AUT-0007.jpg,2736,3648,bolt_c,1620,1207,1694,1353
AUT-0007.jpg,2736,3648,bolt_c,1680,1202,1748,1352
AUT-0007.jpg,2736,3648,vague,851,2446,951,2511
AUT-0008.jpg,2736,3648,bolt_b,871,8,1070,189
AUT-0008.jpg,2736,3648,bolt_b,989,705,1214,936
AUT-0008.jpg,2736,3648,bolt_b,1028,1166,1268,1409
AUT-0009.jpg,2736,3648,bolt_b,1034,1980,1335,2312
AUT-0010.jpg,3648,2736,bolt_a,1906,1120,2223,1423
AUT-0010.jpg,3648,2736,bolt_c,1188,674,1388,802
AUT-0010.jpg,3648,2736,bolt_c,2530,495,2769,648
AUT-0010.jpg,3648,2736,vague,2495,816,2674,916
AUT-0010.jpg,3648,2736,bolt_c,2583,1306,2704,1541
AUT-0011.jpg,3648,2736,bolt_b,1328,985,1558,1236
AUT-0011.jpg,3648,2736,bolt_b,2068,995,2267,1195
AUT-0011.jpg,3648,2736,bolt_c,2493,1362,2744,1600
AUT-0011.jpg,3648,2736,bolt_a,1228,2051,1471,2408
AUT-0011.jpg,3648,2736,vague,1090,2126,1275,2337
AUT-0012.jpg,2736,3648,bolt_b,1055,2117,1332,2393
AUT-0013.jpg,3648,2736,vague,1426,1036,1559,1176
AUT-0013.jpg,3648,2736,vague,2290,1080,2417,1210
AUT-0014.jpg,3648,2736,bolt_b,1300,1130,1482,1311
AUT-0015.jpg,2736,3648,bolt_b,583,2667,784,2861
AUT-0015.jpg,2736,3648,bolt_b,1608,1214,1783,1399
AUT-0015.jpg,2736,3648,bolt_b,2137,429,2315,615
AUT-0016.jpg,3648,2736,bolt_a,2275,1012,2459,1186
AUT-0017.jpg,2736,3648,bolt_b,1178,1648,1330,1807
AUT-0018.jpg,2736,3648,bolt_a,1155,1155,1528,1505
AUT-0018.jpg,2736,3648,bolt_b,1274,1585,1812,2082
AUT-0019.jpg,3648,2736,bolt_b,1921,1245,2002,1308
AUT-0019.jpg,3648,2736,bolt_b,1610,1313,1693,1374
AUT-0019.jpg,3648,2736,bolt_a,2067,2403,2127,2463
AUT-0020.jpg,3648,2736,vague,1831,49,1919,115
AUT-0020.jpg,3648,2736,bolt_a,1788,1238,1911,1346
AUT-0020.jpg,3648,2736,vague,2292,1366,2383,1460
AUT-0021.jpg,3648,2736,bolt_b,1687,1134,2065,1517
